kernel-name,dispatch,gpu-id,queue-id,queue-index,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,time,VALUBusy,performance,LDSInsts,LDSBankConflict,L1MemoryBusy,L1MemoryStalled,L2WriteUnitStalled,L2CacheHit
"_Z11mean_kerneliiPfS_",0,0,0,6,41798,16384,256,0,0,2,1,2304,0x0,0.001486,4.999647,564.972361,0,0.000000,24.770034,8.917149,0.000000,80.000610
"_Z13reduce_kerneliiPfS_",1,0,0,8,41798,1048576,256,0,0,1,1,2496,0x0,0.000028,10.330449,1242.756741,0,0.000000,31.705376,10.061987,13.047572,55.096258
"_Z12covar_kerneliiPfS_",2,0,0,10,41798,16384,256,0,0,4,2,0,0x0,25.043789,1.116627,124.058262,0,0.000000,55.729424,66.181966,0.000000,96.778691
