kernel-name,dispatch,gpu-id,queue-id,queue-index,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,time,VALUBusy,performance,LDSInsts,LDSBankConflict,L1MemoryBusy,L1MemoryStalled,L2WriteUnitStalled,L2CacheHit
"_Z5calDfP14_cuAtomElementll7_domain",0,0,0,4,35771,16777216,512,0,0,1,1,2368,0x0,0.000271,11.748037,1011.681659,0,0.000000,6.134842,2.713577,7.910413,61.655212
"_Z15calDf_optimizedP14_cuAtomElementll7_domain",1,0,0,6,35771,16777216,512,12288,0,3,1,0,0x0,0.000269,11.863764,1023.144119,20480,0.029770,5.225452,3.051112,7.877514,45.173839
"_Z5calDfP14_cuAtomElementll7_domain",2,0,0,8,35771,16777216,512,0,0,1,1,2368,0x0,0.000270,11.767221,1011.681659,0,0.000000,6.202922,2.998950,11.274466,62.057671
"_Z15calDf_optimizedP14_cuAtomElementll7_domain",3,0,0,10,35771,16777216,512,12288,0,3,1,0,0x0,0.000268,11.900339,1026.976120,20480,0.029862,5.226555,3.049835,10.531031,45.347894
