kernel-name,dispatch,gpu-id,queue-id,queue-index,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,time,VALUBusy,performance,LDSInsts,LDSBankConflict,L1MemoryBusy,L1MemoryStalled,L2WriteUnitStalled,L2CacheHit
"_Z5calDfP14_cuAtomElementll7_domain",0,0,0,4,30513,134217728,512,0,0,1,1,2368,0x0,0.001992,12.388665,1080.422811,0,0.000000,0.722847,0.370998,0.921595,64.850758
"_Z15calDf_optimizedP14_cuAtomElementll7_domain",1,0,0,6,30513,134217728,512,12288,0,3,1,0,0x0,0.001992,12.394329,1080.949205,20480,0.004016,0.673860,0.370647,0.990422,47.901129
"_Z5calDfP14_cuAtomElementll7_domain",2,0,0,8,30513,134217728,512,0,0,1,1,2368,0x0,0.001990,12.402976,1081.508663,0,0.000000,0.762842,0.407283,1.007765,63.939080
"_Z15calDf_optimizedP14_cuAtomElementll7_domain",3,0,0,10,30513,134217728,512,12288,0,3,1,0,0x0,0.001991,12.401522,1081.492123,20480,0.004018,0.669166,0.408546,1.014539,47.526851
