kernel-name,dispatch,gpu-id,queue-id,queue-index,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,time,VALUBusy,performance,LDSInsts,LDSBankConflict,L1MemoryBusy,L1MemoryStalled,L2WriteUnitStalled,L2CacheHit
"_Z19gramschmidt_kernel1iiPfS_S_i",0,0,0,6,58084,256,256,0,0,1,2,1664,0x0,0.000031,0.034851,4.591484,0,0.000000,0.068958,0.038696,0.000000,1.075269
"_Z19gramschmidt_kernel2iiPfS_S_i",1,0,0,8,58084,32768,256,0,0,1,1,1856,0x0,0.000014,0.939816,110.907077,0,0.000000,4.762335,0.449575,0.000000,59.798995
"_Z19gramschmidt_kernel3iiPfS_S_i",2,0,0,10,58084,32768,256,0,0,4,2,0,0x0,0.000158,10.000278,1155.019822,0,0.000000,51.304565,20.017906,0.000000,98.768677
"_Z19gramschmidt_kernel1iiPfS_S_i",3,0,0,12,58084,256,256,0,0,1,2,1664,0x0,0.000035,0.031538,4.186353,0,0.000000,0.061953,0.034568,0.000000,1.071429
"_Z19gramschmidt_kernel2iiPfS_S_i",4,0,0,14,58084,32768,256,0,0,1,1,1856,0x0,0.000011,1.178938,131.072000,0,0.000000,4.766763,0.511534,0.000000,60.025221
"_Z19gramschmidt_kernel3iiPfS_S_i",5,0,0,16,58084,32768,256,0,0,4,2,0,0x0,0.000163,9.609644,1110.635457,0,0.000000,47.856772,17.490542,0.000000,98.764139
"_Z19gramschmidt_kernel1iiPfS_S_i",6,0,0,18,58084,256,256,0,0,1,2,1664,0x0,0.000031,0.035293,4.591484,0,0.000000,0.072847,0.042201,0.000000,1.071429
"_Z19gramschmidt_kernel2iiPfS_S_i",7,0,0,20,58084,32768,256,0,0,1,1,1856,0x0,0.000014,0.937232,110.907077,0,0.000000,4.536340,0.406660,0.000000,59.723965
"_Z19gramschmidt_kernel3iiPfS_S_i",8,0,0,22,58084,32768,256,0,0,4,2,0,0x0,0.000160,9.794431,1131.590843,0,0.000000,51.318592,19.681495,0.000000,98.763755
"_Z19gramschmidt_kernel1iiPfS_S_i",9,0,0,24,58084,256,256,0,0,1,2,1664,0x0,0.000034,0.032009,4.186353,0,0.000000,0.065612,0.037818,0.000000,1.071429
"_Z19gramschmidt_kernel2iiPfS_S_i",10,0,0,26,58084,32768,256,0,0,1,1,1856,0x0,0.000011,1.206497,144.179200,0,0.000000,6.209397,0.546694,0.000000,59.723965
"_Z19gramschmidt_kernel3iiPfS_S_i",11,0,0,28,58084,32768,256,0,0,4,2,0,0x0,0.000161,9.613288,1108.743950,0,0.000000,50.133032,19.471920,0.000000,98.747602
"_Z19gramschmidt_kernel1iiPfS_S_i",12,0,0,30,58084,256,256,0,0,1,2,1664,0x0,0.000032,0.034256,4.448000,0,0.000000,0.069244,0.039498,0.000000,1.071429
"_Z19gramschmidt_kernel2iiPfS_S_i",13,0,0,32,58084,32768,256,0,0,1,1,1856,0x0,0.000014,0.915171,102.985143,0,0.000000,5.246832,0.443286,0.000000,59.388646
"_Z19gramschmidt_kernel3iiPfS_S_i",14,0,0,34,58084,32768,256,0,0,4,2,0,0x0,0.000159,9.766398,1129.796051,0,0.000000,48.511868,18.015943,0.000000,98.749924
"_Z19gramschmidt_kernel1iiPfS_S_i",15,0,0,36,58084,256,256,0,0,1,2,1664,0x0,0.000035,0.031238,4.066743,0,0.000000,0.062698,0.035573,0.000000,1.071429
