NI
2
4
6
8
12
16
20
24
30
32
48
64
72
81
96
128
156
168
192
208
248
256
288
320
368
404
445
480
512
535
600
636
667
690
730
768
808
888
960
1000
1024
626
575
777
848
930
990
1280
1536
